Id,Maxspeed
w29980637,20
w29983499,50
w29983500,30
w29983502,30
w29983503,50
w29983508,50
w29983509,50
w29983510,50
w29984218,50
w29984220,50
w29986255,50
w29986256,30
w29986257,50
w29986258,50
w29986259,30
w29986261,30
w29986340,30
w29986457,30
w29986493,50
w30002076,50
w30002079,50
w30002083,50
w30002085,50
w30002087,50
w30002088,30
w30002091,50
w30002092,30
w30002093,30
w30002095,50
w30002098,30
w30002100,50
w30002101,30
w30002104,30
w30002254,30
w30002265,30
w30002414,30
w30002415,30
w30002422,50
w30008337,30
w30009725,50
w30009726,30
w30009727,50
w30009729,50
w30015201,50
w30015234,30
w30015239,30
w30015308,30
w30015804,30
w30015857,30
w30015896,40
w30015897,40
w30015898,40
w30015974,50
w30015979,30
w30016109,50
w30016353,30
w30016388,40
w30016389,40
w30016391,40
w30023433,30
w30029557,50
w30029558,30
w30029559,50
w30029561,30
w30029562,30
w30029564,50
w30029565,50
w30029568,50
w30029569,50
w30029571,30
w30029575,50
w30029577,30
w30029578,30
w30029579,30
w30029580,30
w30029581,30
w30029583,50
w30029584,50
w30029585,50
w30029586,30
w30029772,30
w30046801,40
w30047108,30
w30047113,30
w30047125,30
w30047128,30
w30047187,30
w30047196,30
w30047219,50
w30047238,50
w30047246,50
w30047385,30
w30047396,40
w30047398,50
w30047410,30
w30047413,50
w30047493,30
w30048462,50
w30048483,50
w30048549,30
w30048855,50
w30048966,50
w30049009,30
w30049038,30
w30049154,30
w30049220,30
w30049509,50
w30064494,30
w30106478,40
w30113392,30
w30113420,40
w30113424,40
w30113425,40
w30113431,50
w30113466,50
w30113469,40
w30113471,50
w30113478,30
w30113508,40
w30113517,30
w30113530,50
w30113535,50
w30113543,30
w30113572,30
w30113601,30
w30113631,30
w30120284,50
w30120295,40
w30120301,40
w30120333,30
w30120460,30
w30120463,30
w30120515,50
w30120624,40
w30120641,50
w30121271,50
w30121358,50
w30121362,50
w30121377,30
w30122030,50
w30122039,30
w30122092,50
w30133995,30
w30134114,70
w30150527,50
w30150596,30
w30150600,50
w30150656,30
w30150657,70
w30150710,40
w30150827,40
w30150846,50
w30150852,30
w30150866,50
w30151105,20
w30151149,50
w30151431,50
w30164903,30
w30165142,30
w30165178,40
w30165196,40
w30166226,50
w30171910,30
w30171916,30
w30171971,30
w30171980,50
w30171992,30
w30172044,30
w30172095,50
w30172125,30
w30172131,30
w30172139,30
w30172215,30
w30172238,50
w30172246,30
w30172306,30
w30172309,20
w30172505,50
w30172583,30
w30172618,50
w30172638,50
w30172642,30
w30172656,30
w30172680,30
w30172744,30
w30172754,30
w30172761,30
w30172814,50
w30180409,30
w30180453,30
w30180459,50
w30180502,50
w30180510,50
w30180525,30
w30180529,50
w30180536,30
w30180543,30
w30180551,50
w30180573,50
w30180581,30
w30180589,30
w30180614,30
w30180618,30
w30180627,50
w30191173,30
w30191175,30
w30191180,30
w30191182,30
w30191207,30
w30191245,40
w30191278,40
w30191290,30
w30191297,30
w30191300,30
w30198173,50
w30198430,50
w30198448,20
w30198457,30
w30198473,50
w30213261,30
w30215901,30
w30215908,30
w30216099,30
w30217590,50
w30237960,40
w30246173,50
w30246428,30
w30250633,40
w30250637,40
w30251113,40
w30251122,50
w30251245,50
w30251645,40
w30251651,40
w30252171,40
w30252173,50
w30252655,40
w30252657,40
w30252778,30
w30252779,40
w30253148,40
w30276363,30
w30276370,30
w30276489,30
w30276773,40
w30276954,50
w30277004,30
w30277221,30
w30277236,30
w30277320,30
w30277330,50
w30277417,50
w30277450,30
w30277451,30
w30277460,30
w30277464,50
w30277465,50
w30277466,30
w30277468,50
w30277477,50
w30277506,30
w30277509,50
w30277510,20
w30277590,40
w30277595,50
w30277652,90
w30277673,30
w30277679,30
w30277682,30
w30277684,50
w30311529,40
w30311530,40
w30311531,40
w30311535,40
w30311536,40
w30311537,40
w30311839,50
w30311840,30
w30311846,40
w30311848,40
w30311852,40
w30312390,30
w30314119,40
w30314640,50
w30314643,30
w30314783,90
w30316504,40
w30342259,40
w30342277,40
w30342353,80
w30342402,40
w30342408,40
w30342434,40
w30342460,80
w30342505,80
w30342538,90
w30397082,50
w30398199,30
w30398540,50
w30399370,30
w30399480,40
w30399491,40
w30399589,40
w30400271,40
w30401439,80
w30402021,40
w30402044,40
w30405719,40
w30406072,40
w30406267,90
w30425392,80
w30425426,70
w30425552,40
w30425554,40
w30425608,20
w30425748,40
w30425797,40
w30439107,130
w30439121,90
w30499052,30
w30499338,30
w30499354,30
w30499433,30
w30499479,50
w30499544,30
w30499792,30
w30500163,30
w30500431,50
w30500574,30
w30500584,50
w30500618,30
w30500692,30
w30500782,30
w30500810,30
w30500817,50
w30501041,30
w30501262,30
w30501574,30
w30501591,30
w30501765,30
w30502239,40
w30502398,30
w30502451,40
w30502685,30
w30502694,30
w30503169,40
w30503238,40
w30503252,40
w30503262,40
w30503304,50
w30503320,30
w30503357,30
w30503406,30
w30503626,50
w30503659,30
w30503665,30
w30503677,30
w30503685,50
w30503744,30
w30503761,30
w30503777,30
w30503804,30
w30503855,50
w30503881,50
w30503898,50
w30503997,50
w30504069,30
w30504096,30
w30504107,30
w30504258,50
w30504298,50
w30504548,50
w30504562,50
w30504575,50
w30504589,30
w30504604,30
w30504624,50
w30505339,50
w30505385,50
w30505392,30
w30505908,40
w30505929,30
w30630459,30
w30630470,50
w30630608,30
w30630832,50
w30631067,30
w30631163,30
w30631241,30
w30631267,30
w30631361,50
w30631459,30
w30631463,30
w30631468,50
w30631469,30
w30631590,50
w30631602,50
w30631691,50
w30631703,50
w30631813,30
w30631851,30
w30632010,50
w30632198,20
w30632255,30
w30632260,30
w30632261,50
w30632379,50
w30632389,50
w30632396,30
w30632415,30
w30632431,50
w30632444,50
w30632522,30
w30632562,50
w30632573,50
w30632746,50
w30632846,30
w30632850,30
w30632860,50
w30632898,50
w30632949,50
w30633049,50
w30633077,30
w30633309,30
w30633381,30
w30633410,30
w30633414,30
w30633416,50
w30633553,30
w30633565,50
w30633570,30
w30633580,50
w30633595,50
w30633655,30
w30634021,30
w30650960,20
w30651489,50
w30651627,50
w30651630,40
w30651635,40
w30652659,50
w30652831,30
w30652840,50
w30652902,20
w30652972,30
w30653154,30
w30653167,30
w30653669,50
w30653881,30
w30654184,30
w30654310,30
w30654313,30
w30655055,50
w30655075,50
w30655239,50
w30655267,50
w30655419,30
w30655432,30
w30655445,40
w30655744,30
w30655757,50
